= Logs of language model for Lithuanian (lt) =

- Generated by BuildLangModel.py
- Started: 2023-07-08 17:16:01.900858
- Maximum depth: 4
- Max number of characters: 4000000

== Parsed pages ==

Dacijonai (revision 6709137; CACHED)
Solovkų salos (revision 6507321; CACHED)
Sveikata ir darbas (revision 4977344; CACHED)
PFK Levski Sofiâ (revision 6994658; CACHED)
Skuodo paminklas partizanei B. Pocienei (revision 6496441; CACHED)
1794 m. sukilimas (revision 6903448; CACHED)
Laukagalėliai (Anykščiai) (revision 6734268; CACHED)
Slovakijos futbolo varžybos 1971–1972 m. (revision 6742409; CACHED)
Vytautas Lukša (revision 6985085; CACHED)
1011 m. (revision 5300347; CACHED)
Konstantinas Didysis (revision 6871137; CACHED)
Papilės valsčius (revision 6887888; CACHED)
Lopai (Radviliškis) (revision 6846691; CACHED)
Rokiškio rajono savivaldybė (revision 6950608; CACHED)
Rinkuškiai (revision 6699348; CACHED)
Sokulkos apskritis (revision 6926686; CACHED)
Steel (revision 6989229; CACHED)
Laukagalis (revision 6898427; CACHED)
Piliakiemių apylinkė (revision 6642360; CACHED)
Pogoželecas (Liublino vaivadija) (revision 6777168; CACHED)
Adityvas (revision 6705730; CACHED)
Krakynės miško holokausto vieta (revision 5829520; CACHED)
Chababas (revision 6757939; CACHED)
Izraelio futbolo varžybos 1977–1978 m. (revision 6740911; CACHED)
Karveliškis (Molėtai) (revision 6806042; CACHED)
Dabikinės dvaras (revision 6172851; CACHED)
Vytauto Didžiojo ordino Komandoro kryžius (revision 6787491; CACHED)
Sankt Peterburgo konservatorija (revision 5834909; CACHED)
Leik Čarlsas (revision 5824407; CACHED)
Pratchett (revision 6728259; CACHED)
Vitaminai (revision 6974681; CACHED)
Brazelių kriaušė (revision 6572912; CACHED)
Polas olimpinėse žaidynėse (revision 6044358; CACHED)
Padubysys (Kelmė) (revision 6713391; CACHED)
Klepačė (Balstogės apskritis) (revision 6918930; CACHED)
Daktariškė (revision 6851465; CACHED)
Alphabet (revision 6462079; CACHED)
Zazaki kalba (revision 6787909; CACHED)
An-12 (revision 6739382; CACHED)
Vilnios hidrografinis draustinis (revision 6704814; CACHED)
Jonas Delamarsas (revision 6981009; CACHED)
Birželio 21 (revision 6986711; CACHED)
Jogailaičių dinastija (revision 6763842; CACHED)
Kėdainių rajono miškų sąrašas (revision 6897309; CACHED)
François Truffaut (revision 4893435; CACHED)
Mazovijos Grodzisko apskritis (revision 6637784; CACHED)
Havnar Bóltfelag (revision 6730648; CACHED)
Žvaigždžių karai: epizodas II – klonų ataka (revision 6205842; CACHED)
Désirée Clary (revision 6809011; CACHED)
Skonelandas (revision 6915144; CACHED)
Draugai (TV serialas) (revision 6906118; CACHED)
Buivydiškės (revision 6730804; CACHED)
Genovaitė Vaiginytė (revision 6880220; CACHED)
Ukrainos vėliava (revision 6696299; CACHED)
Human (revision 6952321; CACHED)
Začerlani Kolonija (revision 6918954; CACHED)
Peilis (revision 6775899; CACHED)
GameSpot (revision 6630349; CACHED)
Kai Havertz (revision 6840272; CACHED)
FC Progrès Niederkorn (revision 6963770; CACHED)
Kerpiškiai (revision 6741893; CACHED)
Hidroelektrinė (revision 6974810; CACHED)
Steponas Kairys (revision 6979979; CACHED)
Grodziščanai (revision 6761241; CACHED)
Kalnynai (revision 6699682; CACHED)
1996 m. Europos trumpo baseino plaukimo čempionatas (revision 6695708; CACHED)
Lapūkavas (Balstogės apskritis) (revision 6921743; CACHED)
Vokietijos futbolo varžybos 1931–1932 m. (revision 6743233; CACHED)
Lietuvos bočios žaidimo federacija (revision 6183123; CACHED)
Aleksandras Vanagas (revision 6674563; CACHED)
Jakub Błaszczykowski (revision 6984460; CACHED)
Vatikano eurų monetos (revision 6885937; CACHED)
Mara Salvatrucha (revision 6578799; CACHED)
Paberžiai (Tauragė) (revision 6859847; CACHED)
Vandžiogalos seniūnija (revision 6656844; CACHED)
Stasys Zauka (revision 4976267; CACHED)
Spalio 26 (revision 6962875; CACHED)
Šiaulių reparticija (revision 6813437; CACHED)
Žemaitėlių apylinkė (revision 6643548; CACHED)
Pikelių Švč. Trejybės bažnyčia (revision 6977880; CACHED)
Juozapinė (Medininkai) (revision 6871327; CACHED)
Kėdainių mugė (revision 5776213; CACHED)
Andrés Guardado (revision 6802207; CACHED)
Ip Man (revision 6989737; CACHED)
Buivydžių Tadeušo Konvickio gimnazija (revision 6563488; CACHED)
Rogozinski Mostas (revision 6919005; CACHED)
British Phonographic Industry (revision 6895689; CACHED)
Bananinis alus (revision 6971436; CACHED)
Aukštasparnis lėktuvas (revision 6616905; CACHED)
Baltarusijos futbolo varžybos 2021–2022 m. (revision 6983317; CACHED)
Lepelio rajonas (revision 6935161; CACHED)
Olympiad (revision 6958884; CACHED)
Rietavo savivaldybė (revision 6971802; CACHED)
Albanijos futbolo varžybos 1966–1967 m. (revision 6739304; CACHED)
Utrechtas (revision 5596303; CACHED)
Griovių geomorfologinis draustinis (revision 6708431; CACHED)
Austrijos futbolo varžybos 1921–1922 m. (revision 6733989; CACHED)
Juozas Paukštelis (revision 6881250; CACHED)
Azerbaidžano futbolo varžybos 2004–2005 m. (revision 6710505; CACHED)
Okapijų laukinės gamtos rezervatas (revision 6774346; CACHED)
Mindaugas Tamošiūnas (1934) (revision 6883136; CACHED)
Blanco (revision 6362324; CACHED)
Pernaravos seniūnija (revision 6948315; CACHED)
Vokietijos futbolo varžybos 2006–2007 m. (revision 6743360; CACHED)
Animal (revision 6951162; CACHED)
Kovo 2 (revision 6934787; CACHED)
Marselis (revision 6396723; CACHED)
Kebano tvenkinys (revision 6814436; CACHED)
Slupiai (Bakalariavos valsčius) (revision 6781690; CACHED)
Olimpija (Vašingtonas) (revision 6673831; CACHED)
Oksitanija (administracinis regionas) (revision 6654345; CACHED)
Būdinys (revision 6660509; CACHED)
Fritz Leiber (revision 6872759; CACHED)
Liubava (revision 5139369; CACHED)
Igauniai (revision 6734608; CACHED)
Bosnijos ir Hercegovinos vėliava (revision 6860086; CACHED)
Ganzis (revision 6561560; CACHED)
Kličavo rajonas (revision 6934707; CACHED)
Naujališkių apylinkė (revision 6642201; CACHED)
Gdansko laivų statykla (revision 5827940; CACHED)
FSK Sandoris Vilnius (revision 6306131; CACHED)
Malevičai (revision 6948341; CACHED)
Delninė žaidimų konsolė (revision 5297634; CACHED)
Spalio 7 (revision 6821767; CACHED)
Kipro futbolo varžybos 2017–2018 m. (revision 6740849; CACHED)
Miknaičiai (Barzdai) (revision 6847598; CACHED)
Dešinė (politikoje) (revision 6879421; CACHED)
Calendar (revision 6655266; CACHED)
Žiūrių ežeras (Molėtų r.) (revision 5804854; CACHED)
Raseinių technologijos ir verslo mokykla (revision 6646452; CACHED)
Velso lyga (revision 6934539; CACHED)
Pašliaužiukas (revision 5818807; CACHED)
Spalio 19 (revision 6968594; CACHED)
Sausinė (Nevėžis) (revision 6665731; CACHED)
Smaliavičų valsčius (revision 6901173; CACHED)
Anarchizmas (revision 6878270; CACHED)
Pyragių valsčius (revision 6956932; CACHED)
Devonas (grafystė) (revision 6819770; CACHED)
Molėtų rajono taryba 1990–1995 m. (revision 6725741; CACHED)
Dominikos Respublika (revision 6610455; CACHED)
MTV Europos muzikos apdovanojimai 2007 (revision 5506383; CACHED)
Drybino rajonas (revision 6932366; CACHED)
Šiaurės Makedonija olimpinėse žaidynėse (revision 5520739; CACHED)
Anaičių ežeras (revision 6414855; CACHED)
Vokietijos futbolo varžybos 1930–1931 m. (revision 6743232; CACHED)
gr. (revision 6964014; CACHED)
Jonas Müller (revision 6423479; CACHED)
Škotijos futbolo varžybos 2014–2015 m. (revision 6704593; CACHED)
Trakeliai (Pakruojis) (revision 6806910; CACHED)
Skurviai (revision 6982289; CACHED)
Gran Kanarijos stadionas (revision 6557694; CACHED)
Smalininkų Lidijos Meškaitytės pagrindinė mokykla (revision 6646009; CACHED)
213 m. pr. m. e. (revision 5302700; CACHED)
Juozapas Strumila (revision 6796670; CACHED)
FK Partizan (revision 6987428; CACHED)
Surtas (Libija) (revision 6782920; CACHED)
Jungtinė Karalystė 1976 m. žiemos olimpinėse žaidynėse (revision 6908712; CACHED)
Henry Pelham (revision 6959218; CACHED)
Kalnuotė II (revision 6874980; CACHED)
Molėtų astronomijos observatorija (revision 6348643; CACHED)
Šimkūnų apylinkė (revision 6400827; CACHED)
Stura di Demontė (revision 6823628; CACHED)
Šveicarijos futbolo varžybos 1929–1930 m. (revision 6476040; CACHED)
Liubavo dvaras (revision 6090756; CACHED)
Obelninkai (revision 6706203; CACHED)
Conrad Carlsrud (revision 5809592; CACHED)
Subartonių miškai (revision 5602223; CACHED)
Kyviškių GS (revision 6871472; CACHED)
20 euro centų moneta (revision 6838889; CACHED)
Baltarusijos ekonomika (revision 6529505; CACHED)
FC Flora (revision 6974166; CACHED)
1929 m. Baltijos taurė (revision 6982691; CACHED)
Zita Šimėnaitė (revision 6880965; CACHED)
Jasmin Fazlić Jala (revision 6249692; CACHED)
Sokulkos geležinkelio stotis (revision 4888878; CACHED)
Yuto Nakayama (revision 6821529; CACHED)
Takuya Tasso (revision 6200201; CACHED)
Serbijos ir Juodkalnijos vyrų krepšinio rinktinė (revision 5607459; CACHED)
Liudvikas Jakavičius (revision 6090766; CACHED)
Navigatoriai Vilnius (revision 6926432; CACHED)
Garsas (revision 6981237; CACHED)
Keturi komunarai (revision 5812204; CACHED)
Diržamenių telmologinis draustinis (revision 6221681; CACHED)
Tosca (revision 5091885; CACHED)
Odas Buivydas (revision 6592237; CACHED)
1073 m. (revision 5801744; CACHED)
Molėtų progimnazija (revision 6615536; CACHED)
Vokietijos futbolo varžybos 1926–1927 m. (revision 6743228; CACHED)
Laukuvos seniūnijoje (revision 6600111; CACHED)
Kalinuvkos valsčius (revision 6924070; CACHED)
Pakruojo rajono savivaldybės taryba (revision 4452300; CACHED)
Egipto vyrų futbolo rinktinė (revision 6743189; CACHED)
Strauja (revision 6289842; CACHED)
Paulius Grybauskas (revision 6635380; CACHED)
Pagryžuvio apylinkė (revision 6638241; CACHED)
Aldona Jodkaitė (revision 6408306; CACHED)
Upinis kirlikas (revision 6785356; CACHED)
Rucavos savivaldybė (revision 6286250; CACHED)
Griškabūdžio šventoriaus II koplyčia (revision 6977286; CACHED)
Prancūzijos futbolo varžybos 2014–2015 m. (revision 6746395; CACHED)
Vengrijos futbolo varžybos 1979–1980 m. (revision 6740547; CACHED)
Álvaro Portilla (revision 6192078; CACHED)
Ambrosius Bosschaert (revision 6218867; CACHED)
Šniukščių ąžuolas (revision 6880646; CACHED)
Dzmitrijus Koubas (revision 5851180; CACHED)
Anna Katterfeld (revision 5175154; CACHED)
FK Saned (moterys) (revision 6991930; CACHED)
AB Vingriai (revision 6876870; CACHED)
Andžių kalba (revision 6737893; CACHED)
Gegužės 19 (revision 6969082; CACHED)
Farrukh Ismaïlov (revision 5891178; CACHED)
Paukščių maitinimas (revision 6232119; CACHED)
Aisčiai (revision 6976371; CACHED)
Prancūzas (filmas) (revision 5819739; CACHED)
Kovo 18 (revision 6915052; CACHED)
Norulių apylinkė (revision 6643311; CACHED)
Kipro futbolo varžybos 1956–1957 m. (revision 6740713; CACHED)
Traviata (revision 6506809; CACHED)
Gorbunovas (Gurbiškiai) (revision 6942945; CACHED)
Anglijos futbolo klubas (revision 6354858; CACHED)
Vilniaus Šv. Ignoto bažnyčia (revision 6969414; CACHED)
Žilinčiškės (Trakai) (revision 6864996; CACHED)
Albertas Miškinis (revision 4558221; CACHED)
UEFA taurė 1989–1990 m. (revision 4335907; CACHED)
Šilainių seniūnija (revision 6729912; CACHED)
Pakšteliai (Kėdainiai) (revision 6892295; CACHED)
Pamukalė (revision 6775183; CACHED)
Leta Dromantienė (revision 6882396; CACHED)
Telšių amatininkų sinagoga (revision 6929373; CACHED)
Žemaitkiemis (kaimas) (revision 6869086; CACHED)
Kurilai (Sokulkos apskritis) (revision 6768187; CACHED)
Miknaičių tvenkinys (revision 5885236; CACHED)
Freda (revision 6942999; CACHED)
Seišeliai 1996 m. vasaros olimpinėse žaidynėse (revision 6843246; CACHED)
FK Zeta (revision 6968794; CACHED)
Toyota TF109 (revision 6534759; CACHED)
Statyba (revision 6782445; CACHED)
Morse Code (revision 6926915; CACHED)
Kauno įvairių tautų kultūrų centras (revision 6902093; CACHED)
Robot (revision 6647822; CACHED)
Konecburas (revision 6767015; CACHED)
Eidis (revision 6796405; CACHED)
Danguolė Rasalaitė (revision 6652964; CACHED)
Intalo automagistralė A12 (revision 6960778; CACHED)
Druskininkai (revision 6989759; CACHED)
Giedrius Gustas (revision 6964585; CACHED)
AA Gent (revision 6983102; CACHED)
Rimantas Markauskas (1954) (revision 6485090; CACHED)
Ežerinė slepišerė (revision 6826790; CACHED)
Vengrijos futbolo varžybos 1961–1962 m. (revision 6740521; CACHED)
Kostki Pienkai (revision 6767396; CACHED)
Antanas Karužas (revision 6563502; CACHED)
Papuasų kalbos (revision 6485139; CACHED)
ŽFK Vicebsk (revision 6983379; CACHED)
Raseiniai (revision 6989513; CACHED)
Gruodžio 17 (revision 6962891; CACHED)
Renault R29 (revision 6537485; CACHED)
Austrijos 2. Liga (revision 6959096; CACHED)
Ušačų rajonas (revision 6938900; CACHED)
Vengrijos futbolo varžybos 1989–1990 m. (revision 6740560; CACHED)
Šidingas (revision 4702432; CACHED)
1922 m. Nobelio premijos laureatai (revision 6354024; CACHED)
Stanislovas Augustas Poniatovskis (revision 6977026; CACHED)
Kutuzovo kaimo gyvenvietė (revision 6944782; CACHED)
Regina Sirusienė (revision 6886263; CACHED)
Danijos karalystė (revision 6879334; CACHED)
Klaus Fischer (revision 6761896; CACHED)
Marcinkiškės (Vilnius) (revision 6890952; CACHED)
Argolidės įlanka (revision 5113596; CACHED)
Antanas Novickis (revision 6714572; CACHED)
Vilkaviškio rajono savivaldybės taryba (revision 4739178; CACHED)
I Europos futbolo čempionatas (revision 5906518; CACHED)
Kozi Lasas (revision 6767479; CACHED)
Šatrijos Ragana (revision 6916658; CACHED)
Linkaičių ąžuolas (revision 6581664; CACHED)
Ford Aspire (revision 6867381; CACHED)
Lebenštadtas (revision 6885245; CACHED)
Dunikos valsčius (revision 6992499; CACHED)
Mažeikių miesto taryba 1990–1995 m. (revision 6701082; CACHED)
Lietuvos geografija (revision 6882501; CACHED)
Lietuvos Respublikos Konstitucija (revision 6840517; CACHED)
Armandas Šveistrys (revision 6959822; CACHED)
Česlovas Kundrotas (revision 6448100; CACHED)
Slovakijos futbolo varžybos 2019–2020 m. (revision 6742497; CACHED)
Gabrielius Zagurskas (revision 6754080; CACHED)
Vilniaus elektrinė (revision 6918543; CACHED)
Jorkšyro terjeras (revision 6881059; CACHED)
Sanskritas (revision 6615743; CACHED)
Rimantas Zizas (revision 6884495; CACHED)
Kairiškių dvaras (revision 6710591; CACHED)
Didžiojo Šiaurės karo maras (revision 6958056; CACHED)
Pfalco vokiečių tarmė (revision 6658999; CACHED)
Pietryčių indėnų gentys (revision 5854378; CACHED)
Kalevai (revision 6806809; CACHED)
Europos vyrų krepšinio čempionatas 2003 (revision 6968196; CACHED)
Google Talk (revision 6525951; CACHED)
Palatkai (revision 6775074; CACHED)
Vidurio Europos mažoji rasė (revision 6203325; CACHED)
Liškiavos atodanga (revision 6581696; CACHED)
Pašlavančio piliakalnis (revision 6883821; CACHED)
La Paso departamentas (Bolivija) (revision 6978402; CACHED)
Kuraševas (Liublino vaivadija) (revision 6768168; CACHED)
Ostmark Wien (revision 6973863; CACHED)
Sibitis (revision 6781045; CACHED)
Čarnožečka (revision 6797248; CACHED)
Žabnas (revision 6922425; CACHED)
Lidzbarkas (revision 6786097; CACHED)
Skirsnemunė (revision 6841892; CACHED)
Ansi (revision 5779939; CACHED)
Romualdas Marcinkus (1907) (revision 6820691; CACHED)
Gimnastika olimpinėse žaidynėse (revision 6460084; CACHED)
Svenska Dagbladet (revision 6139572; CACHED)
Kūno kultūros ir sporto departamentas (revision 6711300; CACHED)
FK Venta Kuršėnai (revision 6985695; CACHED)
Telšių vyskupija (revision 6516724; CACHED)
Liepos 17 (revision 6617568; CACHED)
Tytuvėnėliai (revision 6706890; CACHED)
Gediminas Tamošiūnas (revision 6880183; CACHED)
199 m. (revision 5801874; CACHED)
Agurkas (revision 6862493; CACHED)
Taukai (revision 6950909; CACHED)
Ebreichsdorfas (revision 6045935; CACHED)
Pačeriaukštės Petro Poškaus pagrindinė mokykla (revision 6559639; CACHED)
Théodore Rousseau (revision 6461219; CACHED)
Vosyliškis (Suviekas) (revision 6894479; CACHED)
Erbil SC (revision 6978941; CACHED)
Kamparas (revision 6874819; CACHED)
Kauno L.Zamenhofo g. sinagoga (revision 6957953; CACHED)
Ietisvaidė (revision 6327162; CACHED)
Liudas Stankevičius (revision 6952410; CACHED)
Karčiupis (Kelmė) (revision 6840209; CACHED)
Phonetics (revision 6885439; CACHED)
Alumni (revision 6157439; CACHED)
Kazališkė (revision 6800725; CACHED)
Žemaitija (revision 6992615; CACHED)
Aldona Šliūpaitė-Jankauskienė (revision 6222787; CACHED)
Asmenvardinis vietovardis (revision 6501948; CACHED)
Gaisrinė (revision 6358661; CACHED)
Lietuvos kario Florijono Janukevičiaus kapas (revision 5636689; CACHED)
Miknaičiai (Kudirkos Naumiestis) (revision 6703756; CACHED)
Dvaralaukis (revision 6870342; CACHED)
ESTCube-1 (revision 6492157; CACHED)
Staurylai (revision 6851452; CACHED)
Klaipėdos rajono savivaldybės taryba 2007–2011 m. (revision 6698938; CACHED)
Luka Modrić (revision 6970215; CACHED)
Ulsan Hyundai FC (revision 6819289; CACHED)
Tadas Daugirdas (revision 6139615; CACHED)
FK Statyba Raseiniai (revision 6879907; CACHED)
2022 m. moterų A lyga (revision 6841677; CACHED)
Beržuona (Rokiškis) (revision 6822047; CACHED)
Prancūzijos futbolo varžybos 1938–1939 m. (revision 6746316; CACHED)
Bosnijos Ir Hercegovinos moterų futbolo rinktinė (revision 6933821; CACHED)
Gruodžio 4 (revision 6669869; CACHED)
Hà Nội FC (revision 6917875; CACHED)
Piotras Ivašutinas (revision 6507294; CACHED)
Akmenė III (revision 6874124; CACHED)
Liūtai avinėliams (filmas) (revision 4368536; CACHED)
Suniti Kumar Chatterji (revision 6900786; CACHED)
David Healy (revision 5346721; CACHED)
Olimpija (revision 5575879; CACHED)
Zavadai (Balstogė) (revision 6925713; CACHED)
Izraelio futbolo varžybos 1998–1999 m. (revision 6740959; CACHED)
Romualdas Danielius (revision 6496058; CACHED)
Vs. (revision 5106287; CACHED)
Vyžių apylinkė (Šilutė) (revision 6642296; CACHED)
Donaldas Trampas (revision 6930702; CACHED)
Brokolis (revision 6793658; CACHED)
Šeškinės šlaitų geomorfologinis draustinis (revision 5397211; CACHED)
Kampai (Alytus) (revision 6731576; CACHED)
Armališkių apylinkė (revision 6637999; CACHED)
Liepojos–Romnų geležinkelis (revision 6937010; CACHED)
Ravičius (revision 6922430; CACHED)
Take Two Interactive (revision 6242359; CACHED)
Paukščių Takas (revision 6963342; CACHED)
Vilniaus Lietuvos Rytas (revision 6995097; CACHED)
Guvahatis (revision 6838954; CACHED)
Balis (revision 6833603; CACHED)
Tilžės miškas (revision 6383610; CACHED)
Miknaičių apylinkė (revision 6642147; CACHED)
Šventoji (Palanga) (revision 6932736; CACHED)
Širvintų rajono savivaldybė (revision 6856221; CACHED)
Kristina Brazauskienė (revision 6882022; CACHED)
Gamta (revision 6931087; CACHED)
2008 m. moterų A lyga (revision 6443242; CACHED)
Raseinių rajono savivaldybė (revision 6950606; CACHED)
Aristotelis (revision 6899185; CACHED)
Ballon d'Or (revision 6901169; CACHED)
Lygudai (revision 6830301; CACHED)
Jutunheimenas (revision 6764528; CACHED)
1948 m. Nobelio premijos laureatai (revision 6354060; CACHED)
FK Sluckas (revision 6879976; CACHED)
Arabai (revision 5783823; CACHED)
Pranas Eidukevičius (revision 4915572; CACHED)
Reškiai (revision 6778949; CACHED)
Experian (revision 6583752; CACHED)
Irbis (revision 6736756; CACHED)
Desantnojė (Didieji Išdagai) (revision 6879413; CACHED)
Bulgarijos futbolo varžybos 2014–2015 m. (revision 6739771; CACHED)
Jonas Goštautas (revision 6838532; CACHED)
Cibori Vitkai (revision 6794525; CACHED)
Final Fantasy (revision 6104751; CACHED)
Gruzijos futbolo varžybos 2019 m. (revision 6711050; CACHED)
Jun Suzuki (revision 6994007; CACHED)
Honkongo futbolo čempionatas (revision 6927727; CACHED)
Vileikiai (Kelmė) (revision 6706895; CACHED)
David Woodard (revision 6697235; CACHED)
Stanley Baldwin (revision 6958242; CACHED)
Įžaidėjas (revision 6940241; CACHED)
Ninisina (revision 5616436; CACHED)
Referendumas Lietuvos Respublikos Konstitucijai priimti (revision 6663483; CACHED)
Minijos ichtiologinis draustinis (revision 6857895; CACHED)
World of Warcraft: Battle for Azeroth (revision 6443538; CACHED)
Rytis Vaišvila (revision 6496133; CACHED)
AN-94 (revision 6151343; CACHED)
Ukazai (Stara Kornicos valsčius) (revision 6785231; CACHED)
Radviliškio rajono savivaldybė (revision 6950605; CACHED)
Juodiškių apylinkė (Molėtai) (revision 6642359; CACHED)
Biology (revision 6971653; CACHED)
Naujas Strūnaitis (revision 6898328; CACHED)
Žemaitija (Palanga) (revision 5755957; CACHED)
Asas de Portugal (revision 6791651; CACHED)
Akacijos (revision 6790377; CACHED)
Vandensvydis 2012 m. vasaros olimpinėse žaidynėse (revision 6596079; CACHED)
Serbijos ekonomika (revision 6915115; CACHED)
Harry Sauber (revision 6827509; CACHED)
UEFA mugių taurė 1961–1962 m. (revision 6517409; CACHED)
Santa Maria in Aracoeli (revision 6615744; CACHED)
Feltičenis (revision 6759382; CACHED)
Nacizmas (revision 6987753; CACHED)
Rimantas Buivydas (revision 6745796; CACHED)
Radviliškio seniūnija (revision 6727112; CACHED)
Totoriškių tvenkinys (revision 6496922; CACHED)
Kirgizijos šventės (revision 6821286; CACHED)
Pikeliai (Kėdainiai) (revision 6799786; CACHED)
Klijai (revision 6456481; CACHED)
Čechovizna (revision 6797276; CACHED)
Girininkų apylinkė (Tytuvėnai) (revision 6638238; CACHED)
Šlakis (revision 6926341; CACHED)
Kaišiadorių rajono savivaldybės taryba (revision 6949449; CACHED)
Šiaurės Korėja (revision 6987814; CACHED)
Lina Augaitis (revision 6494337; CACHED)
Nižnij Udinsko rajonas (revision 6956472; CACHED)
Tyrulių pagrindinė mokykla (revision 6748689; CACHED)
Dunaiska Streda (revision 6758389; CACHED)
Roduka (revision 6870878; CACHED)
Radviliškio Vinco Kudirkos progimnazija (revision 6559795; CACHED)
Bulgarijos futbolo varžybos 2003–2004 m. (revision 6739751; CACHED)
Baltarusijos futbolo varžybos 2016–2017 m. (revision 6878789; CACHED)
Korundas (revision 6767327; CACHED)
Julija Brazauskienė (revision 6256824; CACHED)
07 Vestur (moterys) (revision 6730735; CACHED)
Referendumai Lietuvoje (revision 6660070; CACHED)
Chaeno provincija (revision 6101256; CACHED)
Rio Ave F.C. (revision 6972254; CACHED)
Jungtinių Valstijų pilietinis karas (revision 6839419; CACHED)
Pasaulio lengvosios atletikos čempionatas (revision 6640171; CACHED)
2020 m. Formulės 1 sezonas (revision 6412394; CACHED)
Kauno Aisčiai (revision 6180754; CACHED)
Jasonys II (revision 6874223; CACHED)
Hitlerinė Vokietija (revision 6984242; CACHED)
Hektaras (revision 6963565; CACHED)
Rusijoje (revision 6916532; CACHED)
Galerasas (revision 6871356; CACHED)
Madisonas (Viskonsinas) (revision 6297350; CACHED)
Balandžio 7 (revision 6548206; CACHED)
Fascija (architektūra) (revision 5895939; CACHED)
1 euro centas (revision 6841059; CACHED)
Trey Songz (revision 6936152; CACHED)
Kordiljeros (revision 6960669; CACHED)
Stasys Dumčius (revision 6899457; CACHED)
Ugniagesys (laikraštis) (revision 6885667; CACHED)
Jurbarkų seniūnija (revision 6656717; CACHED)
Rotenšteinas (revision 6937549; CACHED)
Mateo Kovačić (revision 6814875; CACHED)
Vilniaus Švč. Trejybės Graikų apeigų katalikų bažnyčia (revision 6969399; CACHED)
AXX (revision 6590636; CACHED)
Ausieniškių dvaras (revision 6735520; CACHED)
Stirbaičių ąžuolas (revision 6543709; CACHED)
Senasis Sveržanis (revision 6949029; CACHED)
Arachnologija (revision 6691375; CACHED)
Mpongvės apskritis (revision 6798396; CACHED)
Jambolas (revision 6763482; CACHED)
Svetimi (1962 m. filmas) (revision 5819532; CACHED)
Santo Domingo generalkapitonija (revision 6190941; CACHED)
Makovskiai (revision 6770513; CACHED)
Krakiai (revision 6714526; CACHED)
Wiener Sportclub (revision 6966581; CACHED)
Leonas Prapuolenis (revision 6945188; CACHED)
Laukagaliai (Krekenava) (revision 6391379; CACHED)
Somas (revision 6496487; CACHED)
Stirbaičiai (Plungė) (revision 6701914; CACHED)
Yeedzin FC (revision 6927731; CACHED)
Richard Strauss (revision 6495932; CACHED)
Angliavandenilis (revision 6791088; CACHED)
FIDE prezidento taryba (revision 6867733; CACHED)
Skarulių dvaras (revision 6601959; CACHED)
Levski Burgas (revision 6739636; CACHED)
Vasario 16-osios gimnazija (revision 6559215; CACHED)
Komunizmas (revision 6650205; CACHED)
Laukagalių apylinkė (Rokiškis) (revision 6642083; CACHED)
Maincas (revision 6288837; CACHED)
Bavarų tarmė (revision 6040251; CACHED)
Kārlis Zāle (revision 6958489; CACHED)
Audrius Skimborauskas (revision 6986732; CACHED)
Didžiosios girios (Aukštojo tyro I) telmologinis draustinis (revision 6858940; CACHED)
Brodnica (Ivanava) (revision 6907503; CACHED)
Konrado Adenauerio fondas (revision 5013550; CACHED)
Tmolas (revision 6283659; CACHED)
Kauno lėlių teatras (revision 6964113; CACHED)
Kazlų Rūdos savivaldybėje (revision 6646420; CACHED)
Pžestželė (Grajevo apskritis) (revision 6778255; CACHED)
Vaistinis pataisas (revision 6826772; CACHED)
Charles Scott Sherrington (revision 6877552; CACHED)
Tesidė (revision 6283657; CACHED)
Depresija (revision 6638865; CACHED)
Didžioji Australijos įlanka (revision 6647023; CACHED)
Sokolai (Grajevo apskritis) (revision 6921660; CACHED)
Indiana (revision 6713112; CACHED)
Popiežius Teodoras II (revision 6884086; CACHED)
Microsoft Game Studios (revision 6729552; CACHED)
Kasia Smutniak (revision 5902968; CACHED)
Valgymo lazdelės (revision 6725932; CACHED)
Markizė (filmas) (revision 5815285; CACHED)
Lacka Buda (revision 6918990; CACHED)
Paežerėlių valsčius (revision 6979415; CACHED)
Kipro vėliava (revision 6865927; CACHED)
Birželio 1 (revision 6985373; CACHED)
Video Game (revision 6634315; CACHED)
Sereikiškių parko uosis (revision 6531667; CACHED)
Vilkiautinis (revision 6871407; CACHED)
Solkai (revision 6781945; CACHED)
Snapai (Rodnikovas) (revision 6937939; CACHED)
Podjaluvka (Sokulka) (revision 6812946; CACHED)
Šakių rajone (revision 6950610; CACHED)
B-17 Flying Fortress (revision 6213497; CACHED)
1972 m. Afrikos Tautų taurė (revision 6482596; CACHED)
Ksutas (revision 6284073; CACHED)
Žukai (Sokulkos apskritis) (revision 6789708; CACHED)
Pitchfork (revision 6776753; CACHED)
Kadisas (revision 6852062; CACHED)
Kvietiniai miltai (revision 6711177; CACHED)
Tano Cimarosa (revision 6607722; CACHED)
Gediminaičio ąžuolas (revision 6708210; CACHED)
Saitama (revision 6867680; CACHED)
Hartfordas (revision 5127189; CACHED)
Jasonas (revision 6284060; CACHED)
Baltarusijos futbolo varžybos 2014–2015 m. (revision 6878787; CACHED)
Mirza Delibašić (revision 6683174; CACHED)
Vytauto Didžiojo karo muziejus (revision 6976667; CACHED)
Žaibiškių piliakalnis (revision 4960686; CACHED)
Lietuvių dienos (revision 6422649; CACHED)
Žuvinto biosferos rezervatas (revision 6588909; CACHED)
Backmasking (revision 6215686; CACHED)
