= Logs of language model for Norwegian (no) =

- Generated by BuildLangModel.py
- Started: 2023-07-08 21:11:55.114329
- Maximum depth: 4
- Max number of characters: 4000000

== Parsed pages ==

Hausmanns gate holdeplass (revision 22371470; CACHED)
Grefsenveien holdeplass (revision 22368039; CACHED)
Grammar (revision 20169419; CACHED)
Chandrasekhars grense (revision 15813877; CACHED)
Writing (revision 23671055; CACHED)
Newtonville, Massachusetts (revision 23202080; CACHED)
Chrysomeloidea (revision 22945437; CACHED)
Eva Ström (revision 21789519; CACHED)
Music (revision 22778725; CACHED)
Ringeriksgata (Oslo) (revision 22154086; CACHED)
Norsk (revision 23641359; CACHED)
Frygia (revision 23538423; CACHED)
Hedrum ungdomsskole (revision 22407037; CACHED)
Siobhán Haughey (revision 23519302; CACHED)
Senkveld med Thomas og Harald (revision 22357963; CACHED)
Finland (revision 23671307; CACHED)
Chromobotia (revision 19862806; CACHED)
Michael V. Knudsen (revision 22226072; CACHED)
Georges Lech (revision 23240806; CACHED)
Pieter Bleeker (revision 18493230; CACHED)
55. motoriserte infanteribrigade (revision 19528520; CACHED)
Phonetics (revision 21807689; CACHED)
John Godina (revision 23126428; CACHED)
Macbeth (skuespill) (revision 23591053; CACHED)
Personlig datamaskin (revision 23178454; CACHED)
Hester (revision 23498414; CACHED)
Gallerkrigen (revision 20149849; CACHED)
Tsjekkoslovakia (revision 23541056; CACHED)
Civita (revision 23333625; CACHED)
Aleksandr Tarabrin (revision 23665946; CACHED)
Art for Obama (revision 23602022; CACHED)
Astropartikkelfysikk (revision 18755074; CACHED)
Liste over versjoner av Debian (revision 23284322; CACHED)
Charles d’Albret (revision 23589519; CACHED)
Plant (revision 23220288; CACHED)
Satire (revision 22979652; CACHED)
Goriastsjaja Sopka (revision 22521099; CACHED)
Yohkoh (revision 17786086; CACHED)
FC Barcelona B (revision 23670241; CACHED)
Slaget ved Munda (revision 23235706; CACHED)
Skriftsystem (revision 22651793; CACHED)
Corina Georgescu (revision 23608713; CACHED)
Extreme Makeover (revision 17202335; CACHED)
Charnoctitt (revision 23233244; CACHED)
Bankeryd (revision 22873097; CACHED)
Hettittisk (revision 23321540; CACHED)
Typograf (revision 21807245; CACHED)
Holmenkollen (revision 23386074; CACHED)
Elf (film) (revision 23181138; CACHED)
Lisbeth Trickett (revision 22967474; CACHED)
Materialvitenskap (revision 20821375; CACHED)
Demonstrasjonene på Den himmelske freds plass (revision 23485124; CACHED)
Daddelpalme (revision 21749266; CACHED)
Vesterålen (revision 23429833; CACHED)
Ferdinand I av Østerrike (revision 23142666; CACHED)
Rotten Tomatoes (revision 23411606; CACHED)
Babaoshan revolusjonære gravlund (revision 23302625; CACHED)
Blodsukker (revision 23525139; CACHED)
Steining (revision 21895811; CACHED)
Liu Shaoqi (revision 23007299; CACHED)
Nøytronstjerne (revision 23519693; CACHED)
Malmö (revision 23633486; CACHED)
Indusskriften (revision 23653909; CACHED)
Fjordane (revision 23672667; CACHED)
Folkloristikk (revision 21821945; CACHED)
Dødsriket (revision 21464927; CACHED)
Aconopterus cristatipennis (revision 22840773; CACHED)
(137924) 2000 BD19 (revision 21762342; CACHED)
Niels Dorph (revision 19959343; CACHED)
computer (revision 23570156; CACHED)
Zvonimir Cimermančić (revision 23531192; CACHED)
Erkehertug (revision 15188638; CACHED)
Pete Sandoval (revision 23568418; CACHED)
VM i svømmesport 2003 (revision 23639289; CACHED)
Fylkesvei 3510 (revision 23051588; CACHED)
Vestviken Kollektivtrafikk (revision 22784824; CACHED)
Observatorium (revision 23383793; CACHED)
CRIStin (revision 23275717; CACHED)
Østerdalen (revision 23467341; CACHED)
Poresopp (revision 23009188; CACHED)
Espen Brochmann (revision 23493935; CACHED)
Flavor Flav (revision 22831139; CACHED)
Pyramide (byggverk) (revision 23277562; CACHED)
Byctiscini (revision 22892005; CACHED)
Liste over innsjøer i Storbritannia (revision 23591063; CACHED)
Kartusj (revision 19021364; CACHED)
Bergen (revision 23675676; CACHED)
Astronomi (revision 23600994; CACHED)
New York (revision 23639654; CACHED)
Reinelva (Sørreisa) (revision 23543605; CACHED)
Video Game (revision 22938650; CACHED)
Interpretatio graeca (revision 22846730; CACHED)
Haukerød (revision 22371223; CACHED)
Emmer (revision 23437305; CACHED)
Støvler (revision 23330627; CACHED)
Corentin Tolisso (revision 23039296; CACHED)
Ixcanul (revision 22612130; CACHED)
Botiidae (revision 22786750; CACHED)
Hund (revision 21180995; CACHED)
Alan Moore (revision 22172518; CACHED)
Uri Orlev (revision 22981757; CACHED)
NGC 3132 (revision 22738956; CACHED)
Jordskjelvet i Ecuador 16. april 2016 (revision 21180199; CACHED)
Marad (revision 17663911; CACHED)
Walter Hagen (revision 23485314; CACHED)
Marit Røttingsnes Westlie (revision 19139679; CACHED)
EM i friidrett 1938 – 1500 meter menn (revision 23506977; CACHED)
Charles Malapert (revision 23185205; CACHED)
Marie-Aude Murail (revision 22837108; CACHED)
Oslo byråd (revision 23296285; CACHED)
Den dominikanske republikk under Panamerikanske leker 1963 (revision 19647038; CACHED)
Integrert krets (revision 19299387; CACHED)
Buksnes (revision 21638958; CACHED)
Løykja gravplass (revision 23360731; CACHED)
Jonathan Levinson (revision 19777830; CACHED)
Brianna Throssell (revision 23475357; CACHED)
Kolesterol (revision 23345673; CACHED)
Geofag (revision 22142233; CACHED)
Friidrettsutøver (revision 23304358; CACHED)
Reiselivet (revision 22721597; CACHED)
Aleksandar Susnjar (revision 20005069; CACHED)
Semittiske språk (revision 22705713; CACHED)
Zhao Ziyang (revision 22067643; CACHED)
Stamsund (revision 23189556; CACHED)
Den Houenske Margaretastiftelse (revision 22947037; CACHED)
Harappa (revision 23620899; CACHED)
Kuiperbeltet (revision 23389621; CACHED)
Neolepidoptera (revision 19906168; CACHED)
Talent (mynt) (revision 20466684; CACHED)
Submarine (revision 23564527; CACHED)
Jia Delong (revision 20499133; CACHED)
VM i svømmesport 2009 (revision 23660555; CACHED)
Ilja Muromets (revision 22342208; CACHED)
Gina Torrealva (revision 20039811; CACHED)
Beiarn (revision 23469933; CACHED)
Jemdat Nasr (revision 17598164; CACHED)
Ocean (revision 23617771; CACHED)
Meisel (revision 23365730; CACHED)
IFAM Indoor 2018 (revision 21231974; CACHED)
Vera Sytsjugova (revision 23215960; CACHED)
AllMusic (revision 21950035; CACHED)
Unionen (Den amerikanske borgerkrigen) (revision 23610874; CACHED)
Ramses II (revision 23448263; CACHED)
Cecil Bødker (revision 20687006; CACHED)
Napoleon II (revision 19780350; CACHED)
Karen Pickering (revision 22976654; CACHED)
Kamran Ashraf (revision 20639233; CACHED)
Giancarlo Esposito (revision 23384930; CACHED)
Astrid Strauß (revision 22526721; CACHED)
Discogs (revision 23582704; CACHED)
Statsvitenskap (revision 23418978; CACHED)
Romersk mytologi (revision 22980512; CACHED)
Steine kapell (Vestvågøy) (revision 23286263; CACHED)
Canada (revision 23605992; CACHED)
(15760) 1992 QB1 (revision 17582716; CACHED)
Edvard Nikolai Joakimsen (revision 20604026; CACHED)
Apostrophe (’) (revision 23668044; CACHED)
Dolomitt (revision 20465160; CACHED)
Draga av Serbia (revision 19785889; CACHED)
Stein Kollshaugen (revision 23362408; CACHED)
Voyagerprogrammet (revision 23137589; CACHED)
Freddie Prinze (revision 23384919; CACHED)
Manhattan (revision 22753130; CACHED)
Infanteri (revision 21893466; CACHED)
Botia lohachata (revision 18677652; CACHED)
Måleenhet (revision 23255956; CACHED)
Tour de France 1949 (revision 23209536; CACHED)
Bergesåi kraftverk (revision 23131116; CACHED)
Internet Movie Database (revision 21868099; CACHED)
Sitka, Alaska (revision 23602260; CACHED)
Kiasma (revision 19088817; CACHED)
Stjernedynamikk (revision 22403944; CACHED)
Ad hoc (revision 23403202; CACHED)
Asteroide (revision 23600941; CACHED)
Søramerikansk mesterskap i terrengløp 2006 (revision 21339190; CACHED)
Samuel Umtiti (revision 23407061; CACHED)
Fekting (revision 23201327; CACHED)
Malteserordenen (revision 23431864; CACHED)
Cleptometopus (revision 22841299; CACHED)
Grefsenplatået holdeplass (revision 22367996; CACHED)
Pelle Parafins Bøljeband og automatspøkelsene (revision 23555527; CACHED)
Egyptisk hieroglyf (revision 22812212; CACHED)
Musikkåret 2011 (revision 23650542; CACHED)
Suzy Lee (revision 22837137; CACHED)
Leandro Paredes (revision 23672880; CACHED)
NM i bandy for damer 2005 (revision 18878813; CACHED)
VM i friidrett 2022 – Kulestøt menn (revision 22966606; CACHED)
Sogn (distrikt) (revision 23646182; CACHED)
William Jones (seiler) (revision 22000593; CACHED)
Dronningens gate holdeplass (Tollbugata) (revision 22357204; CACHED)
Blazar (revision 21308691; CACHED)
Partia (revision 23630327; CACHED)
Nordre Sogsti naturminne (revision 22658273; CACHED)
Salomonøyene (revision 23419897; CACHED)
Ionisering (revision 23265173; CACHED)
John Nwangwu (revision 23654898; CACHED)
Swaziland under Sommer-OL 2008 (revision 21300472; CACHED)
Virus (revision 23490589; CACHED)
Posthuset holdeplass (revision 23387584; CACHED)
Slaget ved Farsalos (revision 22702258; CACHED)
Joseph Mercola (revision 22012984; CACHED)
Tsjekkisk (revision 22854481; CACHED)
Derivasjon (revision 21655508; CACHED)
Belgia (revision 23531404; CACHED)
M/V Aurora (revision 22676168; CACHED)
Organisasjonsteori (revision 21277229; CACHED)
Etnologi (revision 22352446; CACHED)
RC Lens (revision 23672871; CACHED)
Skyss (revision 23414318; CACHED)
Condé Nast Building (revision 22997895; CACHED)
Kollektivtransportforvalter (revision 23345698; CACHED)
NM i ishockey 1950 (revision 20705399; CACHED)
Simensbråtenlinja (revision 22376665; CACHED)
Helsfyrtrikken (revision 22048664; CACHED)
Amazon (revision 22812913; CACHED)
Antônio Eliseu Zuqueto (revision 22849336; CACHED)
Opp ned bak frem (revision 23467488; CACHED)
Komet (revision 23627364; CACHED)
Harpun (revision 21567067; CACHED)
IKT-Norge (revision 23333017; CACHED)
Abovjan (revision 22343333; CACHED)
Yang Yu (revision 22419575; CACHED)
Andrej Mikhnevitsj (revision 22735032; CACHED)
Madison Wilson (revision 23361284; CACHED)
Shibuya (revision 23175810; CACHED)
Djibril Sidibé (revision 22952225; CACHED)
Nationaltheatret (revision 23076575; CACHED)
MS «Lofoten» (revision 23436103; CACHED)
Kylian Mbappé (revision 23669540; CACHED)
Winx Club: Enchantix (revision 21531568; CACHED)
Nebbflikvinger (revision 22885918; CACHED)
Deng Xiaoping (revision 23140725; CACHED)
Kong Valdemars jordebok (revision 22924202; CACHED)
Olivia Smoliga (revision 22814248; CACHED)
Morse Code (revision 23032955; CACHED)
Skjervøy Idrettsklubb (revision 23142757; CACHED)
H II-region (revision 23231008; CACHED)
Videregående trinn 3 (revision 23572013; CACHED)
Mektige skip (revision 21955975; CACHED)
Ben 10: Ultimate Alien (revision 20050212; CACHED)
Mahoba (distrikt) (revision 22382155; CACHED)
Syntaks (revision 15160129; CACHED)
Rød kjempe (revision 22076163; CACHED)
Franz Karl av Østerrike (revision 19736080; CACHED)
María Teresa Andruetto (revision 18492614; CACHED)
Yang Junxuan (revision 23449069; CACHED)
'''IGBT''' (revision 22142247; CACHED)
Ada Lovelace (revision 23665087; CACHED)
Aldebaran (revision 23628928; CACHED)
Lofoten tingrett (revision 23505350; CACHED)
Dynamikk (mekanikk) (revision 23235600; CACHED)
Tereza Vanišová (revision 22234085; CACHED)
Dynamic Host Configuration Protocol (revision 23109570; CACHED)
Thune holdeplass (revision 22403110; CACHED)

== End of Parsed pages ==

- Number of pages processed: 865
- Number of characters consumed: 4106083

- Wikipedia parsing ended at: 2023-07-08 21:12:00.180523

70 characters appeared 4106083 times.

[ 0] Character 'e' usage: 620086 (15.101643099 %)
[ 1] Character 'r' usage: 349634 (8.515025147 %)
[ 2] Character 'n' usage: 334851 (8.154998328 %)
[ 3] Character 't' usage: 317245 (7.726219855 %)
[ 4] Character 's' usage: 278066 (6.772050151 %)
[ 5] Character 'a' usage: 263957 (6.428438003 %)
[ 6] Character 'i' usage: 261511 (6.368867848 %)
[ 7] Character 'o' usage: 225349 (5.488174496 %)
[ 8] Character 'l' usage: 217279 (5.291636823 %)
[ 9] Character 'd' usage: 167626 (4.082382163 %)
[10] Character 'k' usage: 149590 (3.643131422 %)
[11] Character 'g' usage: 144941 (3.529909162 %)
[12] Character 'm' usage: 135979 (3.311647621 %)
[13] Character 'v' usage: 95412 (2.323674412 %)
[14] Character 'f' usage: 82217 (2.002321921 %)
[15] Character 'u' usage: 77456 (1.886372000 %)
[16] Character 'p' usage: 77091 (1.877482749 %)
[17] Character 'b' usage: 66551 (1.620790422 %)
[18] Character 'h' usage: 59000 (1.436892532 %)
[19] Character 'å' usage: 40455 (0.985245549 %)
[20] Character 'y' usage: 36754 (0.895110985 %)
[21] Character 'j' usage: 33263 (0.810090785 %)
[22] Character 'ø' usage: 28748 (0.700131975 %)
[23] Character 'c' usage: 20908 (0.509195747 %)
[24] Character 'æ' usage: 7381 (0.179757691 %)
[25] Character 'w' usage: 5742 (0.139841304 %)
[26] Character 'z' usage: 2472 (0.060203362 %)
[27] Character 'x' usage: 2331 (0.056769432 %)
[28] Character 'é' usage: 1117 (0.027203542 %)
[29] Character 'q' usage: 784 (0.019093623 %)
[30] Character 'ö' usage: 399 (0.009717290 %)
[31] Character 'á' usage: 292 (0.007111400 %)
[32] Character 'ä' usage: 287 (0.006989630 %)
[33] Character 'ü' usage: 200 (0.004870822 %)
[34] Character 'í' usage: 125 (0.003044264 %)
[35] Character 'è' usage: 110 (0.002678952 %)
[36] Character 'ó' usage: 103 (0.002508473 %)
[37] Character 'š' usage: 79 (0.001923975 %)
[38] Character 'α' usage: 63 (0.001534309 %)
[39] Character 'ç' usage: 49 (0.001193351 %)
[40] Character 'σ' usage: 44 (0.001071581 %)
[41] Character 'ð' usage: 43 (0.001047227 %)
[42] Character 'τ' usage: 38 (0.000925456 %)
[43] Character 'à' usage: 36 (0.000876748 %)
[44] Character 'ã' usage: 36 (0.000876748 %)
[45] Character 'φ' usage: 35 (0.000852394 %)
[46] Character 'π' usage: 34 (0.000828040 %)
[47] Character 'ô' usage: 29 (0.000706269 %)
[48] Character 'δ' usage: 27 (0.000657561 %)
[49] Character 'ý' usage: 25 (0.000608853 %)
[50] Character 'ε' usage: 23 (0.000560145 %)
[51] Character 'ú' usage: 23 (0.000560145 %)
[52] Character 'ë' usage: 20 (0.000487082 %)
[53] Character 'ß' usage: 19 (0.000462728 %)
[54] Character 'â' usage: 15 (0.000365312 %)
[55] Character 'ï' usage: 14 (0.000340958 %)
[56] Character '∞' usage: 14 (0.000340958 %)
[57] Character 'ê' usage: 13 (0.000316603 %)
[58] Character 'ì' usage: 13 (0.000316603 %)
[59] Character 'ñ' usage: 12 (0.000292249 %)
[60] Character 'þ' usage: 11 (0.000267895 %)
[61] Character 'ò' usage: 11 (0.000267895 %)
[62] Character 'ž' usage: 11 (0.000267895 %)
[63] Character 'î' usage: 10 (0.000243541 %)
[64] Character 'µ' usage: 6 (0.000146125 %)
[65] Character 'ù' usage: 6 (0.000146125 %)
[66] Character 'õ' usage: 5 (0.000121771 %)
[67] Character 'û' usage: 3 (0.000073062 %)
[68] Character 'œ' usage: 2 (0.000048708 %)
[69] Character 'ÿ' usage: 2 (0.000048708 %)

Most Frequent characters:
[ 0] Char e: 15.101643099 %
[ 1] Char r: 8.515025147 %
[ 2] Char n: 8.154998328 %
[ 3] Char t: 7.726219855 %
[ 4] Char s: 6.772050151 %
[ 5] Char a: 6.428438003 %
[ 6] Char i: 6.368867848 %
[ 7] Char o: 5.488174496 %
[ 8] Char l: 5.291636823 %
[ 9] Char d: 4.082382163 %
[10] Char k: 3.643131422 %
[11] Char g: 3.529909162 %
[12] Char m: 3.311647621 %
[13] Char v: 2.323674412 %
[14] Char f: 2.002321921 %
[15] Char u: 1.886372000 %
[16] Char p: 1.877482749 %
[17] Char b: 1.620790422 %
[18] Char h: 1.436892532 %
[19] Char å: 0.985245549 %
[20] Char y: 0.895110985 %
[21] Char j: 0.810090785 %
[22] Char ø: 0.700131975 %
[23] Char c: 0.509195747 %
[24] Char æ: 0.179757691 %
[25] Char w: 0.139841304 %
[26] Char z: 0.060203362 %
[27] Char x: 0.056769432 %
[28] Char é: 0.027203542 %
[29] Char q: 0.019093623 %

The first 30 characters have an accumulated ratio of 0.9994430214878754.
The first 5 characters have an accumulated ratio of 0.4626993657946027.
All characters whose order is over 19 have an accumulated ratio of 0.033973984451848634.

1334 sequences found.

First 485 (typical positive ratio): 0.9950135113611677
Next 202 (687-485): 0.003988115141958182
Rest: 0.0009983734968741498

- Processing end: 2023-07-08 21:12:00.191525
