= Logs of language model for Czech (cs) =

- Generated by BuildLangModel.py
- Started: 2023-07-08 18:51:50.154226
- Maximum depth: 4
- Max number of characters: 4000000

== Parsed pages ==

Ben Chaplin (revision 22155766; CACHED)
Henry Chaplin (revision 21990169; CACHED)
Madrid (revision 22733934; CACHED)
Stuart Woods (revision 22892320; CACHED)
Vladislav IV. Vasa (revision 21946347; CACHED)
90210: Nová generace (revision 20358224; CACHED)
Star Ocean: The Last Hope (revision 22267038; CACHED)
Robot (revision 22866536; CACHED)
Seznam britských letadlových lodí (revision 19662088; CACHED)
'O sole mio (revision 22861380; CACHED)
Marie Frederika Pruská (revision 21973149; CACHED)
Ashlee Simpson (revision 22902593; CACHED)
Rob Schneiderem (revision 22133991; CACHED)
Honorius III. (revision 22604389; CACHED)
We Can Make It (revision 20307110; CACHED)
Glass Hammer (revision 22249959; CACHED)
Ada Lovelace (revision 22901226; CACHED)
Rogue wave (revision 22933392; CACHED)
Darren O'Shaughnessey (revision 22147528; CACHED)
Braxton Bragg (revision 21969182; CACHED)
2017–18 Second Professional Football League (Bulgaria) (revision 22112469; CACHED)
Aleksandras Algirdas Abišala (revision 22123509; CACHED)
Exeter Hall (revision 21785451; CACHED)
Morse Code (revision 22889771; CACHED)
Animal (album, Kesha) (revision 22524816; CACHED)
Zooey Deschanelová (revision 22150553; CACHED)
Meat Katie (revision 22577488; CACHED)
Vlastimil Hela (revision 22866906; CACHED)
Video Game (revision 21614672; CACHED)
Waldviertler Hoftheater (revision 21377640; CACHED)
Military (revision 21755418; CACHED)
Braswell (revision 21664451; CACHED)
The Simpsons: Bart vs. the Space Mutants (revision 21677258; CACHED)
Mons Hansteen (revision 19979637; CACHED)
History (revision 21290753; CACHED)
Blondie Chaplin (revision 22115312; CACHED)
Stanley Street, Brisbane (revision 22707655; CACHED)
Tom Chaplin (revision 22902594; CACHED)
London Congestion Charge (revision 18771379; CACHED)
Steel Aréna (revision 22636486; CACHED)
Robert Winchester (revision 22871280; CACHED)
Aaron Spelling (revision 22066446; CACHED)
Jesper Strömblad (revision 22148703; CACHED)
Artist Relief (revision 22875471; CACHED)
Writing (revision 20282226; CACHED)
Zastupitelstvo kraje (revision 22595465; CACHED)
HMS Electra (1896) (revision 16513543; CACHED)
Windsor Airlift (revision 21878723; CACHED)
Carol Welsmanová (revision 22598471; CACHED)
Uziel Gal (revision 22061382; CACHED)
2023 (revision 22931403; CACHED)
Mafia II (revision 22935345; CACHED)
Animal DžaZ (revision 22258315; CACHED)
James Lord Pierpont (revision 22654752; CACHED)
Yousuf Karsh (revision 22061554; CACHED)
Ten (album, Pearl Jam) (revision 21309044; CACHED)
Labrinth (revision 22116771; CACHED)
Central Park Tower (revision 22381057; CACHED)
Grammar (revision 21879457; CACHED)
2017–18 PLK season (revision 22502735; CACHED)
To the Sky (píseň, Owl City) (revision 22742600; CACHED)
Wildlife contraceptive (revision 22457057; CACHED)
Bitva u Starého Smolivce (revision 22494077; CACHED)
The ConstruKction of Light (revision 20369326; CACHED)
Robin Saynsko-Wittgensteinsko-Berleburský (revision 22086516; CACHED)
Animal Ambition (revision 20285454; CACHED)
Friedhelm Kemp (revision 22075828; CACHED)
Sarah Yorke Jacksonová (revision 21972380; CACHED)
Hollywood v koncích (revision 22538210; CACHED)
Prevoje (revision 20027718; CACHED)
Simon Anthamatten (revision 22139980; CACHED)
Henry Bradshaw (revision 20363303; CACHED)
Mark Lanegan (revision 22302129; CACHED)
Modřanská rokle (revision 22657029; CACHED)
Oceán (revision 21910015; CACHED)
Jindřich Bourbonsko-Parmský (revision 22800600; CACHED)
Hawke's Bay (revision 20309033; CACHED)
Retro Music Television (revision 20384734; CACHED)
Olympiad (revision 22799062; CACHED)
Medal of Honor (herní série) (revision 21615197; CACHED)
Louisiana Museum of Modern Art (revision 20209203; CACHED)
We Global (revision 20373579; CACHED)
Andrew Joseph Russell (revision 21978064; CACHED)
Pandemie covidu-19 (revision 22834574; CACHED)
Hotel Opatov (revision 21390494; CACHED)
Ferry Corsten (revision 22439599; CACHED)
Seznam měst v Mosambiku (revision 20866142; CACHED)
Earth Moving (revision 20306905; CACHED)
Severní Karolína (revision 22851862; CACHED)
Mešita Násir al Mulk (revision 22636155; CACHED)
Andrew Valmon (revision 22347032; CACHED)
Sumeria (revision 21503857; CACHED)
BRIT Awards (revision 22612715; CACHED)
Trevor Steele (revision 22090138; CACHED)
Ludmila Turečková (revision 22711722; CACHED)
On je fakt boží! (revision 20803825; CACHED)
VU (album) (revision 20373272; CACHED)
(píseň) (revision 22305280; CACHED)
John Carver (guvernér) (revision 21944853; CACHED)
'Til the Band Comes In (revision 20370345; CACHED)
Miss Earth (revision 20063292; CACHED)
Marie Louise of Bourbon-Parma (revision 22065696; CACHED)
Seznam videoher společnosti Ubisoft (revision 22889819; CACHED)
Tania Leon (revision 22099406; CACHED)
Andrew B. Sterling (revision 22829164; CACHED)
Soundgarden (revision 22355489; CACHED)

== End of Parsed pages ==

- Number of pages processed: 703
- Number of characters consumed: 4343292

- Wikipedia parsing ended at: 2023-07-08 18:51:57.986386

73 characters appeared 4343292 times.

[ 0] Character 'e' usage: 351097 (8.083660965 %)
[ 1] Character 'o' usage: 342139 (7.877411880 %)
[ 2] Character 'a' usage: 329893 (7.595459849 %)
[ 3] Character 'n' usage: 287751 (6.625182005 %)
[ 4] Character 't' usage: 227291 (5.233150338 %)
[ 5] Character 'i' usage: 221128 (5.091253363 %)
[ 6] Character 's' usage: 209674 (4.827536348 %)
[ 7] Character 'l' usage: 205458 (4.730467120 %)
[ 8] Character 'r' usage: 201753 (4.645163162 %)
[ 9] Character 'v' usage: 174727 (4.022916258 %)
[10] Character 'k' usage: 153002 (3.522719633 %)
[11] Character 'd' usage: 148915 (3.428620503 %)
[12] Character 'm' usage: 133321 (3.069584085 %)
[13] Character 'u' usage: 132748 (3.056391327 %)
[14] Character 'p' usage: 131416 (3.025723345 %)
[15] Character 'c' usage: 118010 (2.717063462 %)
[16] Character 'í' usage: 110704 (2.548850043 %)
[17] Character 'h' usage: 103642 (2.386254482 %)
[18] Character 'z' usage: 81877 (1.885136896 %)
[19] Character 'y' usage: 81861 (1.884768512 %)
[20] Character 'á' usage: 79279 (1.825320517 %)
[21] Character 'b' usage: 76638 (1.764514106 %)
[22] Character 'j' usage: 71159 (1.638365553 %)
[23] Character 'ě' usage: 52584 (1.210694561 %)
[24] Character 'é' usage: 45644 (1.050907929 %)
[25] Character 'ř' usage: 40500 (0.932472420 %)
[26] Character 'ý' usage: 34501 (0.794351381 %)
[27] Character 'ž' usage: 33281 (0.766262089 %)
[28] Character 'č' usage: 33178 (0.763890616 %)
[29] Character 'g' usage: 30885 (0.711096560 %)
[30] Character 'š' usage: 25253 (0.581425334 %)
[31] Character 'f' usage: 24532 (0.564825022 %)
[32] Character 'ů' usage: 18755 (0.431815314 %)
[33] Character 'w' usage: 11083 (0.255175107 %)
[34] Character 'x' usage: 6335 (0.145857106 %)
[35] Character 'ú' usage: 5505 (0.126747177 %)
[36] Character 'ň' usage: 2284 (0.052586840 %)
[37] Character 'ó' usage: 1430 (0.032924335 %)
[38] Character 'ť' usage: 1123 (0.025855964 %)
[39] Character 'q' usage: 971 (0.022356314 %)
[40] Character 'ď' usage: 660 (0.015195847 %)
[41] Character 'ü' usage: 255 (0.005871123 %)
[42] Character 'ö' usage: 240 (0.005525762 %)
[43] Character 'ë' usage: 130 (0.002993121 %)
[44] Character 'ć' usage: 116 (0.002670785 %)
[45] Character 'ä' usage: 98 (0.002256353 %)
[46] Character 'ç' usage: 65 (0.001496561 %)
[47] Character 'ô' usage: 52 (0.001197249 %)
[48] Character 'ă' usage: 48 (0.001105152 %)
[49] Character 'ľ' usage: 43 (0.000990032 %)
[50] Character 'ł' usage: 41 (0.000943984 %)
[51] Character 'â' usage: 34 (0.000782816 %)
[52] Character 'î' usage: 30 (0.000690720 %)
[53] Character 'ń' usage: 24 (0.000552576 %)
[54] Character 'ś' usage: 20 (0.000460480 %)
[55] Character 'ß' usage: 18 (0.000414432 %)
[56] Character 'ā' usage: 16 (0.000368384 %)
[57] Character 'đ' usage: 13 (0.000299312 %)
[58] Character 'ş' usage: 13 (0.000299312 %)
[59] Character 'ą' usage: 10 (0.000230240 %)
[60] Character 'ő' usage: 7 (0.000161168 %)
[61] Character 'ė' usage: 7 (0.000161168 %)
[62] Character 'ę' usage: 6 (0.000138144 %)
[63] Character 'ż' usage: 3 (0.000069072 %)
[64] Character 'ē' usage: 3 (0.000069072 %)
[65] Character 'ū' usage: 3 (0.000069072 %)
[66] Character 'õ' usage: 2 (0.000046048 %)
[67] Character 'ź' usage: 2 (0.000046048 %)
[68] Character 'ō' usage: 2 (0.000046048 %)
[69] Character 'ŕ' usage: 1 (0.000023024 %)
[70] Character 'ű' usage: 1 (0.000023024 %)
[71] Character 'ţ' usage: 1 (0.000023024 %)
[72] Character 'ņ' usage: 1 (0.000023024 %)

Most Frequent characters:
[ 0] Char e: 8.083660965 %
[ 1] Char o: 7.877411880 %
[ 2] Char a: 7.595459849 %
[ 3] Char n: 6.625182005 %
[ 4] Char t: 5.233150338 %
[ 5] Char i: 5.091253363 %
[ 6] Char s: 4.827536348 %
[ 7] Char l: 4.730467120 %
[ 8] Char r: 4.645163162 %
[ 9] Char v: 4.022916258 %
[10] Char k: 3.522719633 %
[11] Char d: 3.428620503 %
[12] Char m: 3.069584085 %
[13] Char u: 3.056391327 %
[14] Char p: 3.025723345 %
[15] Char c: 2.717063462 %
[16] Char í: 2.548850043 %
[17] Char h: 2.386254482 %
[18] Char z: 1.885136896 %
[19] Char y: 1.884768512 %
[20] Char á: 1.825320517 %
[21] Char b: 1.764514106 %
[22] Char j: 1.638365553 %
[23] Char ě: 1.210694561 %
[24] Char é: 1.050907929 %
[25] Char ř: 0.932472420 %
[26] Char ý: 0.794351381 %
[27] Char ž: 0.766262089 %
[28] Char č: 0.763890616 %
[29] Char g: 0.711096560 %
[30] Char š: 0.581425334 %
[31] Char f: 0.564825022 %
[32] Char ů: 0.431815314 %
[33] Char w: 0.255175107 %
[34] Char x: 0.145857106 %
[35] Char ú: 0.126747177 %
[36] Char ň: 0.052586840 %
[37] Char ó: 0.032924335 %
[38] Char ť: 0.025855964 %
[39] Char q: 0.022356314 %
[40] Char ď: 0.015195847 %

The first 41 characters have an accumulated ratio of 0.9996995366648155.
The first 6 characters have an accumulated ratio of 0.40506118400512786.
All characters whose order is over 27 have an accumulated ratio of 0.0372975153408981.

1640 sequences found.

First 779 (typical positive ratio): 0.995009604797878
Next 235 (1014-779): 0.0039913052781319625
Rest: 0.0009990899239900042

- Processing end: 2023-07-08 18:51:57.999388
